Code,Count,Individual Probability,Cumulative Probability
1234,255,0.00026288171972066498,0.00026288171972066498
1111,244,0.00025154172396800884,0.00051442344368867387
0000,221,0.00022783082375790964,0.00074225426744658346
1212,212,0.00021855264541482735,0.00096080691286141084
7777,203,0.00020927446707174507,0.00117008137993315580
1004,199,0.00020515083225259738,0.00137523221218575323
2000,199,0.00020515083225259738,0.00158038304443835066
4444,196,0.00020205810613823662,0.00178244115057658728
2222,195,0.00020102719743344969,0.00198346834801003697
6969,195,0.00020102719743344969,0.00218449554544348666
9999,192,0.00019793447131908893,0.00238243001676257575
3333,191,0.00019690356261430200,0.00257933357937687770
5555,190,0.00019587265390951509,0.00277520623328639249
6666,190,0.00019587265390951509,0.00297107888719590771
1122,188,0.00019381083649994124,0.00316488972369584906
1313,185,0.00019071811038558046,0.00335560783408142939
8888,185,0.00019071811038558046,0.00354632594446700972
2001,184,0.00018968720168079355,0.00373601314614780333
4321,184,0.00018968720168079355,0.00392570034782859737
1010,183,0.00018865629297600662,0.00411435664080460339
0909,181,0.00018659447556643280,0.00430095111637103684
2580,180,0.00018556356686164587,0.00448651468323268271
0007,179,0.00018453265815685896,0.00467104734138954099
1818,178,0.00018350174945207202,0.00485454909084161342
1230,177,0.00018247084074728511,0.00503701993158889826
1984,175,0.00018040902333771127,0.00521742895492660966
1986,175,0.00018040902333771127,0.00539783797826432106
0070,174,0.00017937811463292433,0.00557721609289724488
1985,174,0.00017937811463292433,0.00575659420753016956
0987,173,0.00017834720592813742,0.00593494141345830666
1000,173,0.00017834720592813742,0.00611328861938644462
1231,173,0.00017834720592813742,0.00629163582531458172
1987,173,0.00017834720592813742,0.00646998303124271881
1999,173,0.00017834720592813742,0.00664833023717085678
2468,173,0.00017834720592813742,0.00682667744309899387
2002,172,0.00017731629722335049,0.00700399374032234425
2323,172,0.00017731629722335049,0.00718131003754569463
0123,171,0.00017628538851856358,0.00735759542606425829
1123,170,0.00017525447981377664,0.00753284990587803523
1233,170,0.00017525447981377664,0.00770810438569181217
1357,170,0.00017525447981377664,0.00788335886550558911
1221,169,0.00017422357110898973,0.00805758243661457846
1324,169,0.00017422357110898973,0.00823180600772356781
1988,169,0.00017422357110898973,0.00840602957883255716
2112,169,0.00017422357110898973,0.00858025314994154825
2121,169,0.00017422357110898973,0.00875447672105053760
5150,169,0.00017422357110898973,0.00892870029215952696
1024,168,0.00017319266240420280,0.00910189295456373046
1112,168,0.00017319266240420280,0.00927508561696793223
1224,168,0.00017319266240420280,0.00944827827937213573
1969,168,0.00017319266240420280,0.00962147094177633749
1225,167,0.00017216175369941589,0.00979363269547575341
1235,167,0.00017216175369941589,0.00996579444917516932
1982,167,0.00017216175369941589,0.01013795620287458524
1983,167,0.00017216175369941589,0.01031011795657400115
1001,166,0.00017113084499462898,0.01048124880156863122
1978,166,0.00017113084499462898,0.01065237964656325954
1979,166,0.00017113084499462898,0.01082351049155788787
7410,166,0.00017113084499462898,0.01099464133655251794
1020,165,0.00017009993628984204,0.01116474127284236041
1223,165,0.00017009993628984204,0.01133484120913220115
1974,164,0.00016906902758505513,0.01150391023671725604
1975,164,0.00016906902758505513,0.01167297926430231267
1977,164,0.00016906902758505513,0.01184204829188736756
1980,164,0.00016906902758505513,0.01201111731947242245
1981,164,0.00016906902758505513,0.01218018634705747734
1029,163,0.00016803811888026820,0.01234822446593774464
1121,163,0.00016803811888026820,0.01251626258481801368
1213,163,0.00016803811888026820,0.01268430070369828272
1973,163,0.00016803811888026820,0.01285233882257855002
1976,163,0.00016803811888026820,0.01302037694145881906
2020,163,0.00016803811888026820,0.01318841506033908637
2345,163,0.00016803811888026820,0.01335645317921935540
2424,163,0.00016803811888026820,0.01352449129809962271
2525,163,0.00016803811888026820,0.01369252941697989175
1515,162,0.00016700721017548129,0.01385953662715537320
1970,162,0.00016700721017548129,0.01402654383733085292
1972,162,0.00016700721017548129,0.01419355104750633437
1989,162,0.00016700721017548129,0.01436055825768181582
0001,161,0.00016597630147069435,0.01452653455915251142
1023,161,0.00016597630147069435,0.01469251086062320528
1414,161,0.00016597630147069435,0.01485848716209389915
9876,161,0.00016597630147069435,0.01502446346356459302
0101,160,0.00016494539276590744,0.01518940885633050103
0907,160,0.00016494539276590744,0.01535435424909640904
1245,160,0.00016494539276590744,0.01551929964186231532
1966,160,0.00016494539276590744,0.01568424503462822334
1967,160,0.00016494539276590744,0.01584919042739412962
1971,160,0.00016494539276590744,0.01601413582016003936
8520,160,0.00016494539276590744,0.01617908121292594564
1964,159,0.00016391448406112051,0.01634299569698706781
1968,159,0.00016391448406112051,0.01650691018104818650
4545,159,0.00016391448406112051,0.01667082466510930866
1318,158,0.00016288357535633360,0.01683370824046563977
5678,158,0.00016288357535633360,0.01699659181582197434
1011,157,0.00016185266665154666,0.01715844448247352133
1124,157,0.00016185266665154666,0.01732029714912506832
1211,157,0.00016185266665154666,0.01748214981577661531
1963,157,0.00016185266665154666,0.01764400248242816230
4200,157,0.00016185266665154666,0.01780585514907970929
4567,157,0.00016185266665154666,0.01796770781573125281
1007,156,0.00016082175794675976,0.01812852957367801568
1012,156,0.00016082175794675976,0.01828935133162477508
1025,156,0.00016082175794675976,0.01845017308957153448
1120,156,0.00016082175794675976,0.01861099484751829389
1125,156,0.00016082175794675976,0.01877181660546505329
1214,156,0.00016082175794675976,0.01893263836341181269
1236,156,0.00016082175794675976,0.01909346012135857210
1965,156,0.00016082175794675976,0.01925428187930533150
7942,156,0.00016082175794675976,0.01941510363725209090
1028,155,0.00015979084924197282,0.01957489448649406619
1209,155,0.00015979084924197282,0.01973468533573603800
1227,155,0.00015979084924197282,0.01989447618497800982
3535,155,0.00015979084924197282,0.02005426703421998511
7890,155,0.00015979084924197282,0.02021405788346195692
0420,154,0.00015875994053718591,0.02037281782399914115
1210,154,0.00015875994053718591,0.02053157776453632885
1222,154,0.00015875994053718591,0.02069033770507351308
1701,154,0.00015875994053718591,0.02084909764561070078
1919,154,0.00015875994053718591,0.02100785758614788501
5425,154,0.00015875994053718591,0.02116661752668507271
1113,153,0.00015772903183239897,0.02132434655851746935
1226,153,0.00015772903183239897,0.02148207559034986947
1717,153,0.00015772903183239897,0.02163980462218226958
1957,153,0.00015772903183239897,0.02179753365401466622
1959,153,0.00015772903183239897,0.02195526268584706633
1990,153,0.00015772903183239897,0.02211299171767946645
5252,153,0.00015772903183239897,0.02227072074951186309
0202,152,0.00015669812312761207,0.02242741887263947562
1002,152,0.00015669812312761207,0.02258411699576708814
1003,152,0.00015669812312761207,0.02274081511889470067
1114,152,0.00015669812312761207,0.02289751324202231320
1205,152,0.00015669812312761207,0.02305421136514992572
1215,152,0.00015669812312761207,0.02321090948827753825
1220,152,0.00015669812312761207,0.02336760761140515077
1228,152,0.00015669812312761207,0.02352430573453275983
1956,152,0.00015669812312761207,0.02368100385766037236
1962,152,0.00015669812312761207,0.02383770198078798488
3232,152,0.00015669812312761207,0.02399440010391559741
0124,151,0.00015566721442282516,0.02415006731833842235
0303,151,0.00015566721442282516,0.02430573453276124729
0505,151,0.00015566721442282516,0.02446140174718407223
